method,spp,T,logRMR,logM,ram,therm
DO,"Ranzania laevis, Ostracion boops stage",22.4,-1.885579663,-5.137272472,no,ecto
DO,Sagamichthys abei,5,-0.885103202,-2.244125144,no,ecto
DO,Sardinops sagax (formaly S. caerulea),25,1.469232743,-1.163043263,no,ecto
DO,Scomberesocidae sp.,15.9,-2.372341591,-5.175223538,no,ecto
DO,Scomberoides lysan,30,-0.231361899,-3.247951552,no,ecto
DO,Scopelengys tristis,5,-0.193820026,-1.302770657,no,ecto
DO,Scopelogadus mizolepis bispinosus,5,-1.146128036,-2.443697499,no,ecto
DO,Sebastolobus altivelis,5.7,-1.105525696,-2.744727495,no,ecto
DO,Selaroides leptolepis,29,0.267506962,-2.748118545,no,ecto
DO,Siganus sp.,29,-0.537602002,-3.453457337,no,ecto
DO,Sphyraena sp.,29,-0.882728704,-3.899629455,no,ecto
DO,Stegostoma tigrinum,27.4,3.104183354,0.579783597,no,ecto
DO,Stegostoma tigrinum,27.4,3.021101541,0.643452676,no,ecto
DO,Stegostoma tigrinum,27.4,3.488803715,1.204119983,no,ecto
DO,Stegostoma tigrinum,27.4,3.660485855,1.271841607,no,ecto
DO,Stegostoma tigrinum,27.4,3.625723749,1.342422681,no,ecto
DO,Stegostoma tigrinum,27.4,3.844796472,1.556302501,no,ecto
DO,Stegostoma tigrinum,27.4,3.899919779,1.678518379,no,ecto
DO,Stenobrachius leucopsarus,10,-0.356547324,-2.356547324,no,ecto
DO,Stomias atriventer,5,-0.27572413,-1.660548559,no,ecto
DO,Stomias danae,5,-0.240871987,-1.860120914,no,ecto
DO,Tarletonbeania crenularis,13,-0.430124692,-2.853871964,no,ecto
DO,Terapon sp.,28,-1.53123082,-4.539102157,no,ecto
DO,Triaenodon obesus,27,3.143328933,0.301029996,no,ecto
DO,Triaenodon obesus,27,3.107182319,0.505149978,no,ecto
DO,Triaenodon obesus,27,3.152652672,0.62324929,no,ecto
DO,Triaenodon obesus,27,3.166324715,0.698970004,no,ecto
DO,Triphoturus mexicanus,10,-0.050609993,-2.031517051,no,ecto
DO,Upeneus tragula,29,-0.485262558,-3.54668166,no,ecto
DO,Carcharhinus acronotus,28,2.176958981,-0.346787486,yes,ecto
DO,Carcharhinus acronotus,29,2.264191894,-0.346787486,yes,ecto
DO,Carcharhinus acronotus,28,2.339457404,-0.327902142,yes,ecto
DO,Carcharhinus acronotus,29,2.31670404,-0.259637311,yes,ecto
DO,Carcharhinus acronotus,28,2.380265525,-0.200659451,yes,ecto
DO,Carcharhinus acronotus,27,2.477121255,-0.124938737,yes,ecto
DO,Carcharhinus acronotus,28,2.595121288,-0.091514981,yes,ecto
DO,Carcharhinus acronotus,28,2.588383768,-0.070581074,yes,ecto
DO,Carcharhinus acronotus,27,2.777455823,0.193124598,yes,ecto
DO,Carcharhinus acronotus,28,2.990132316,0.545307116,yes,ecto
DO,Carcharhinus plumbeus,25,2.592946919,-0.002058196,yes,ecto
DO,Carcharhinus plumbeus,25,2.448849876,0.192586297,yes,ecto
DO,Carcharhinus plumbeus,25,2.676368727,0.241961153,yes,ecto
DO,Carcharhinus plumbeus,25,2.703126874,0.262673662,yes,ecto
DO,Carcharhinus plumbeus,25,2.76733838,0.480689012,yes,ecto
DO,Carcharhinus plumbeus,25,2.698780115,0.55479703,yes,ecto
DO,Carcharhinus plumbeus,25,2.829778169,0.621637999,yes,ecto
DO,Carcharhinus plumbeus,25,2.927712479,0.697752623,yes,ecto
DO,Carcharhinus plumbeus,25,2.913292598,0.723700499,yes,ecto
DO,Carcharhinus plumbeus,25,2.87862224,0.745531779,yes,ecto
DO,Carcharhinus plumbeus,25,2.896995806,0.762495581,yes,ecto
DO,Carcharhinus plumbeus,25,2.925126027,0.824411599,yes,ecto
DO,Carcharhinus plumbeus,25,2.996712596,0.83428588,yes,ecto
DO,Carcharhinus plumbeus,25,2.882931776,0.842878431,yes,ecto
DO,Carcharhinus plumbeus,25,3.018172827,0.934576163,yes,ecto
DO,Carcharhinus plumbeus,25,2.972976332,0.938860348,yes,ecto
DO,Carcharodon carcharius,17.5,3.632633404,1.354108439,yes,endo
DO,Carcharodon carcharius,17.8,3.850415857,1.401400541,yes,endo
DO,Carcharodon carcharius,16.5,3.801842585,1.447158031,yes,endo
DO,Carcharodon carcharius,18.3,3.792360868,1.485721426,yes,endo
DO,Carcharodon carcharius,17.6,3.89114703,1.558708571,yes,endo
DO,Coryphaena hippurus,27,-0.393311604,-3.045757491,yes,ecto
DO,Euthynnus affinis,24,2.043238738,-0.896196279,yes,endo
DO,Isurus oxyrinchus,18,3.092158996,0.643452676,yes,endo
DO,Isurus oxyrinchus,18.5,3.248218561,0.662757832,yes,endo
DO,Isurus oxyrinchus,19.5,3.27565681,0.69019608,yes,endo
