spp;original name;sp_all;notes
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus2;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus3;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus4;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus5;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus6;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus7;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus8;
Isurus_oxyrinchus;Isurus oxyrinchus;Isurus_oxyrinchus9;
Katsuwonus_pelamis;Katsuwonus pelamis;Katsuwonus pelamis;
Lampanyctus_alatus;Lampanyctus ritteri;Lampanyctus ritteri;
Lampanyctus_australis;Lampanyctus regalis;Lampanyctus regalis;
Lampanyctus_nobilis;Lampanyctus nobilis;Lampanyctus nobilis;
Leiognathus_equulus;Leiognathus sp.;Leiognathus sp.;
Lepidophanes_guentheri;Lepidophanes guentheri;Lepidophanes guentheri;
Lethrinus_atkinsoni;Lethrinus sp.;Lethrinus sp.;
Lethrinus_atkinsoni;Lethrinus sp.;Lethrinus sp.2;
Lutjanus_carponotatus;Lutjanus carponotatus;Lutjanus carponotatus;
Melamphaes_lugubris;Melamphaes acanthomus;Melamphaes acanthomus;
Melanocetus_johnsonii;Melanocetus johnsonii;Melanocetus johnsonii;
Melanonus_zugmayeri;Melanonus zugmayeri;Melanonus zugmayeri;
Mullus_auratus;Mullidae sp.;Mullidae sp.;
Myctophum_asperum;Myctophum affine;Myctophum affine;
Neomyxus_leuciscus;Neomyxus sp;Neomyxus sp;
Neomyxus_leuciscus;Neomyxus sp;Neomyxus sp.2;
Neopomacentrus_bankieri;Neopomacentrus bankieri;Neopomacentrus bankieri;
Notothenia_rossii;Notothenia rossii;Notothenia rossii;
Omobranchus_anolius;Omobranchus sp.;Omobranchus sp.;
Oneirodes_acanthias;Oneirodes acanthias;Oneirodes acanthias;
Oneirodes_bulbosus;Oneirodes sp.;Oneirodes sp.;
Ophichthus_gomesii;Ophichthus gomesii, leptocephalus larvae;Ophichthus gomesii, leptocephalus larvae;
Paraconger_notialis;Paraconger caudilimbatus, leptocephalus larvae;Paraconger caudilimbatus, leptocephalus larvae;
Parvilux_ingens;Parvilux ingens;Parvilux ingens;
Pelates_quadrilineatus;Pelates quadrilineatus;Pelates quadrilineatus;
Pomacentrus_adelus;Pomacentrus sp.;Pomacentrus sp.;
Poromitra_crassiceps;Poromitra crassiceps;Poromitra crassiceps;
Pseudocaranx_dentex;Pseudocaranx dentex (formaly Longirostrum delicatissimus) ;Pseudocaranx dentex (formaly Longirostrum delicatissimus) ;
Ranzania_laevis;Ranzania laevis, Ostracion boops stage;Ranzania laevis, Ostracion boops stage;
Rhincodon_typus;Rhincodon typus;Rhincodon_typus;
Sagamichthys_abei;Sagamichthys abei;Sagamichthys abei;
Sardinops_sagax;Sardinops sagax (formaly S. caerulea);Sardinops sagax (formaly S. caerulea);
Scomber_japonicus;Scomber japonicus;Scomber japonicus;
Scomberoides_lysan;Scomberoides lysan;Scomberoides lysan;
Scomberomorus_queenslandicus;Scomberomorus queenslandicus;Scomberomorus queenslandicus;
Scopelengys_tristis;Scopelengys tristis;Scopelengys tristis;
Scopelogadus_beanii;Scopelogadus mizolepis bispinosus;Scopelogadus mizolepis bispinosus;
Sebastolobus_altivelis;Sebastolobus altivelis;Sebastolobus altivelis;
Selaroides_leptolepis;Selaroides leptolepis;Selaroides leptolepis;
Siganus_argenteus;Siganus sp.;Siganus sp.;
Sphyraena_acutipinnis;Sphyraena sp.;Sphyraena sp.;
Sphyrna_lewini;Sphyrna lewini;Sphyrna_lewini;
Sphyrna_lewini;Sphyrna lewini;Sphyrna_lewini2;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo2;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo3;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo4;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo5;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo6;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo7;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo8;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo9;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo10;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo11;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo12;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo13;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo14;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo15;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo16;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo17;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo18;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo19;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo20;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo21;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo22;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo23;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo24;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo25;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo26;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo27;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo28;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo29;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo30;
Sphyrna_tiburo;Sphyrna tiburo;Sphyrna_tiburo31;
